#{"t_start": 1736034574.6894507, "env_id": "None"}
r,l,t
0.0,50,2.787749
0.048554,65,4.257375
0.0,48,5.210948
0.002932,57,6.572775
0.0,64,7.729871
0.102701,111,9.530362
0.0,66,10.712786
0.004617,54,11.995678
0.035939,53,13.287949
0.010928,56,14.581064
0.000117,65,16.182625
0.001089,49,17.48297
0.0,38,18.352964
0.003782,54,19.694121
0.0,64,21.474815
0.0,47,22.453712
0.0,56,23.824763
0.039836,57,25.214251
0.0,59,26.316393
0.0,119,29.200676
0.0,56,30.611986
0.0,133,33.554678
0.081147,99,35.695772
0.000828,104,37.856518
0.0,161,41.411154
0.003592,53,43.028733
0.012167,258,49.749345
0.001798,70,52.18066
0.001548,95,54.713879
0.0,35,55.726095
0.001219,66,58.045746
0.0,50,59.384597
0.0,61,60.897967
0.005524,44,61.827295
0.0,62,63.341419
0.0,179,67.088909
0.016519,59,68.253216
0.007523,74,70.003731
0.000917,66,71.579084
0.069073,200,75.316489
0.012062,265,79.521708
0.01939,53,80.802769
0.00683,50,82.037597
0.008577,59,83.420669
0.000382,57,84.488507
0.0,50,85.451387
0.011984,61,86.868706
0.000591,63,88.298633
1.820427,239,92.374579
0.018599,46,93.299124
0.001532,81,94.696591
0.005912,54,95.704606
0.0,64,96.862016
0.0,57,98.209468
0.0,40,99.020167
0.000216,91,101.114132
0.030596,84,102.544404
0.004912,71,103.822592
0.0,57,105.205294
0.0,128,107.541181
0.0,55,108.580771
0.001747,57,109.643079
0.0,54,110.948131
0.0,61,113.528335
0.362152,74,115.909482
1.363293,126,120.027819
6.579549,210,126.627322
0.929883,109,129.975845
6.04419,250,137.663602
0.013903,64,140.049222
5.821004,261,148.06266
3.029219,158,153.149247
5.515279,187,159.326187
0.005869,44,160.885093
3.397037,206,167.888901
0.005467,63,169.995064
6.636424,233,176.969587
0.911592,85,179.698879
5.510799,270,188.466315
0.003567,57,190.639282
0.022333,61,192.718481
0.00767,66,195.198549
0.022669,56,197.324879
0.008893,41,199.037769
3.87521,294,208.065119
1.207122,146,212.825936
2.999569,203,219.494484
5.918353,298,228.593764
1.362548,104,232.095449
5.294647,262,240.092662
4.469425,376,251.698927
2.095913,107,255.362279
3.182715,153,260.006755
2.314858,143,264.974174
5.330723,255,272.925511
0.858873,141,277.893637
4.045813,186,283.7374
2.373132,75,286.188832
6.959263,244,294.203594
4.578939,321,304.189384
3.994692,275,312.831718
1.329429,136,316.942698
5.211014,199,323.30421
3.119642,147,328.033842
0.623882,93,331.952846
6.94591,177,338.993293
2.363832,74,342.236784
4.293164,119,347.150957
3.44394,274,357.762045
5.558809,309,369.995181
0.992294,158,376.319051
1.905713,129,381.184165
0.379505,79,384.338945
1.677051,119,389.259895
2.038976,91,393.129542
6.849154,249,402.605831
0.896652,136,408.108749
1.794598,126,412.860052
5.491327,233,421.768291
1.545849,96,425.826508
5.699898,166,432.304482
2.287745,121,437.264703
5.644848,211,445.698916
1.686803,109,450.221449
7.869868,296,461.144408
4.462844,276,471.654323
5.51651,302,483.068903
5.207009,178,490.098493
3.797072,143,496.137676
6.411451,284,507.149473
5.726431,270,517.778766
6.66623,181,524.601167
2.028586,115,529.350896
4.102388,251,539.359948
5.338218,358,554.231804
3.349396,156,560.469387
1.29905,136,565.729575
1.915525,144,571.607823
3.125318,148,577.568101
6.771841,396,593.017652
1.542459,101,597.289865
1.849071,146,603.140716
1.822688,160,609.644436
4.761063,239,618.866861
3.979429,186,626.103482
6.755826,275,637.262734
5.234345,312,649.309536
1.791165,107,653.474791
1.312542,178,660.44381
5.714901,155,666.643774
3.756239,113,670.887875
4.497039,486,689.668566
6.399526,239,699.778889
0.950467,96,704.567478
0.933856,115,709.240676
3.853714,252,719.679888
6.728016,198,727.284123
5.854038,228,736.155743
5.752212,183,743.404041
6.087053,245,752.952403
2.217571,83,757.03863
1.1226,73,760.961567
1.146853,75,764.726382
6.039561,267,776.42072
6.60642,313,788.701179
6.756455,239,799.369194
4.799371,121,804.658627
3.779441,226,813.587658
3.904386,141,819.702442
4.952765,249,829.503199
3.58286,228,839.303329
4.731884,135,845.10875
6.460156,192,852.822084
3.014804,107,857.36475
5.833792,139,862.962652
4.663489,305,874.166003
3.260998,109,878.754712
2.860071,87,882.194822
6.458951,256,892.598265
2.850374,94,896.505032
5.007048,114,900.871082
7.838215,211,909.471752
7.694345,268,919.784318
0.134237,100,924.072408
2.201869,96,927.863327
4.721887,132,932.898083
2.40621,160,939.330127
3.927378,175,946.379449
6.007232,325,958.605446
3.943977,272,969.277872
5.262284,140,974.567686
5.677675,209,982.751134
7.264746,207,990.740784
6.773043,286,1001.966657
2.649794,142,1007.67618
