#{"t_start": 1735582979.81298, "env_id": "None"}
r,l,t
57.985022,1501,4695.898032
0.055332,122,4699.313938
49.109419,1501,4739.587513
23.735143,1501,4779.469622
70.384736,1501,4819.237784
53.727304,1501,4858.16388
48.75602,1501,4898.00053
63.381808,1501,4937.8508
46.859847,1501,4977.983708
27.694845,1501,5017.08932
56.97261,1501,5056.12378
31.585632,1501,5096.151956
31.753629,1501,5135.923116
30.882053,1501,5175.21556
59.818518,1501,5214.620526
65.650509,1501,5254.360538
48.122287,1501,5294.473709
53.3417,1501,5334.266133
71.644395,1501,5372.638699
39.214769,1501,5412.553803
51.805476,1501,5452.215865
60.165659,1501,5491.802692
40.180491,1501,5529.994853
35.004095,1501,5569.954095
51.287646,1501,5609.25666
57.634128,1501,5648.251031
56.749118,1501,5686.464498
53.60445,1501,5725.880183
70.456595,1501,5765.441355
66.732268,1501,5804.863352
65.898686,1501,5842.834894
23.848969,1501,5882.046982
65.667539,1501,5920.773376
52.748314,1501,5960.415535
46.726856,1501,5998.73774
67.72501,1501,6038.085611
52.070878,1501,6077.10061
49.451626,1501,6115.974472
63.763165,1501,6153.798042
0.020036,107,6158.147506
56.566658,1501,6196.756563
46.321855,1501,6236.486382
54.389199,1501,6276.15291
65.880555,1501,6316.00331
77.215163,1501,6355.098749
70.764456,1501,6393.579731
73.633018,1501,6433.247492
43.069672,1501,6472.974452
74.183368,1501,6512.632473
40.832608,1501,6551.508343
60.677461,1501,6590.788526
56.472493,1501,6631.067535
69.724351,1501,6671.090377
73.147075,1501,6710.467987
46.054247,1501,6748.900107
68.168451,1501,6788.639523
31.237269,1501,6828.031631
42.150476,1501,6867.320332
54.336808,1501,6905.846473
63.953076,1501,6944.29745
37.072798,1501,6983.191312
39.665529,1501,7022.345915
61.183527,1501,7060.938131
57.830529,1501,7099.543967
43.420021,1501,7138.733777
72.35541,1501,7178.08042
0.29997,241,7184.181942
60.603584,1501,7223.682212
3.650197,344,7233.465242
36.222723,1501,7272.431814
40.428922,1501,7310.712662
40.690361,1501,7350.119485
35.760613,1501,7389.330029
48.691719,1501,7428.223283
50.60667,1501,7466.161496
37.802566,1501,7505.46866
55.932435,1501,7544.386788
43.029092,1501,7583.179889
45.362592,1501,7620.711678
38.329865,1501,7659.724748
36.82296,1501,7699.010729
39.648707,1501,7738.272084
53.66527,1501,7776.109437
65.428688,1501,7815.070791
53.761915,1501,7854.169465
45.794717,1501,7893.153976
41.412059,1501,7931.375468
35.598421,1501,7970.324429
42.217794,1501,8009.490832
17.556306,1501,8048.495098
67.482183,1501,8086.949883
70.781287,1501,8124.708561
48.482746,1447,8162.314892
43.366465,1501,8201.301233
52.406186,1501,8238.749202
31.753027,1501,8277.430173
29.387794,1501,8316.567348
36.89344,1501,8355.720489
71.555739,1501,8393.558746
40.484231,1501,8432.322511
35.264586,1501,8471.153962
60.074987,1501,8510.15696
33.208496,1501,8547.587067
16.259336,963,8572.898311
28.180123,1501,8612.048182
50.738874,1501,8651.143033
29.773856,1501,8689.501635
65.010422,1501,8728.154877
51.828838,1501,8771.692264
53.127933,1501,8811.451867
55.124832,1501,8851.207078
40.288782,1501,8890.157608
17.513651,1337,8924.814738
32.37207,1501,8964.334489
41.03905,1501,9003.527933
57.147385,1501,9041.508147
44.301618,1501,9080.616995
54.692989,1501,9119.476646
56.252549,1501,9158.343937
35.399745,1501,9195.817345
39.280966,1501,9234.696227
46.667694,1501,9273.494582
19.952376,1501,9313.995577
69.50104,1501,9352.55005
36.180832,1501,9391.413036
29.573969,1501,9430.69856
58.625798,1501,9469.969368
25.977489,1501,9509.063049
38.650462,1501,9547.302543
63.30954,1501,9586.591823
34.878332,1501,9625.967496
31.377642,953,9651.050693
45.8459,1501,9689.381354
12.718525,1356,9725.315921
10.462053,1501,9765.425976
70.313392,1501,9805.342759
57.350441,1501,9843.638633
28.886089,1501,9883.414645
32.014174,1501,9923.073507
56.528807,1501,9962.50423
64.855908,1501,10001.645139
51.101903,1501,10040.370643
67.053521,1501,10079.940759
21.660561,1501,10119.807161
54.848634,1501,10158.727912
42.90212,1501,10196.880936
9.17999,680,10215.486897
54.919738,1501,10253.819633
31.941231,1501,10292.505152
41.393521,1501,10331.369672
64.860544,1501,10370.597513
60.693852,1501,10409.011304
58.826916,1501,10447.62906
25.473305,1501,10487.502937
29.72392,1501,10527.25734
58.172267,1501,10566.31706
37.716019,1501,10604.613802
62.96226,1501,10644.219211
66.623014,1501,10683.548679
33.543699,1501,10722.828079
0.092935,215,10728.401136
64.871694,1501,10768.245642
26.026278,1501,10807.949953
77.321821,1501,10846.303814
44.45324,1501,10885.535816
59.499773,1501,10924.527884
62.566259,1501,10963.66532
47.106839,1501,11001.634961
9.236205,876,11024.820554
54.338111,1501,11064.00315
59.81734,1501,11103.277001
36.953777,1501,11141.204293
68.680199,1501,11180.273017
39.505347,1501,11219.311695
66.125166,1501,11258.468186
51.666738,1501,11295.903449
51.670552,1501,11334.84385
61.836897,1501,11373.306726
60.583475,1501,11412.124401
29.102428,1501,11449.609535
42.986135,1420,11486.7247
35.42073,1501,11525.995733
48.055362,1501,11563.541124
61.001134,1501,11602.162367
13.820532,896,11625.862716
27.616417,1501,11664.442337
71.099774,1501,11702.664839
70.06277,1501,11742.441612
54.236717,1501,11781.509352
71.259473,1501,11820.276454
2.224084,949,11843.942523
39.188436,1501,11882.976801
59.518961,1501,11921.642941
48.563419,1501,11960.210965
32.689391,1501,11997.961841
23.112186,1501,12037.162563
38.944285,1501,12075.519211
61.518313,1501,12114.372463
0.637444,165,12118.620027
8.65927,949,12144.415026
31.808941,1501,12185.601299
78.033093,1501,12224.703932
53.425676,1501,12264.297271
46.414655,1501,12304.152074
55.985227,1501,12346.298206
69.328432,1501,12389.469011
64.506186,1501,12430.806616
70.271049,1501,12472.494795
70.769298,1501,12514.263032
53.700887,1501,12555.498154
55.074937,1501,12595.866181
72.24499,1501,12636.398266
66.89451,1501,12677.411463
69.809074,1501,12718.335298
59.550524,1501,12759.233271
4.492431,510,12773.685967
75.188737,1501,12815.560437
69.348309,1501,12857.173139
79.411755,1501,12899.245649
70.27426,1501,12939.928882
72.305674,1501,12980.219066
60.546487,1501,13020.565349
26.206317,1501,13061.608463
55.894341,1501,13101.880737
79.134824,1501,13142.771063
78.042691,1501,13183.737471
70.419743,1501,13224.956865
72.646159,1501,13265.707849
10.154273,722,13285.449727
85.46874,1501,13325.931531
65.617327,1501,13366.229887
0.159451,254,13372.77107
53.701453,1501,13412.61547
77.709748,1501,13451.994067
75.474977,1501,13490.987478
77.125367,1501,13529.806223
68.884284,1501,13569.347328
71.189242,1501,13608.79707
66.400179,1501,13648.74315
76.643774,1501,13687.712732
70.523102,1501,13727.362611
1.165168,194,13733.77013
76.9359,1501,13772.752784
59.749897,1501,13812.25395
64.047163,1501,13852.103086
73.153618,1501,13891.858865
63.131692,1501,13931.939853
44.522008,1501,13970.835856
72.764908,1501,14010.226342
50.087987,1501,14050.382189
71.057039,1501,14089.924956
34.239636,1501,14129.492579
59.705475,1501,14169.177363
64.76662,1501,14208.175442
70.523804,1501,14249.014317
30.520233,1501,14289.120606
42.825544,1501,14328.471166
79.225411,1501,14367.846265
58.19061,1501,14406.04965
72.079287,1501,14445.498346
80.641819,1501,14484.92206
76.198644,1501,14524.571109
76.018574,1501,14563.258024
71.885491,1501,14602.193276
53.954208,1501,14641.512433
72.368998,1501,14680.951595
66.530466,1501,14719.681796
76.327198,1501,14758.76315
60.02717,1501,14798.43505
42.139323,1501,14838.269567
1.4742,140,14842.104316
60.421011,1501,14881.964294
57.550828,1501,14921.867293
77.271136,1501,14961.589534
29.513069,1501,15000.784505
80.937774,1501,15040.873621
67.419778,1501,15080.658475
67.783985,1501,15120.662606
66.222266,1501,15160.749043
62.299305,1501,15199.614723
72.335429,1501,15239.08811
83.427142,1501,15279.070267
66.384043,1501,15319.270287
59.205452,1501,15359.481407
19.432076,1501,15399.195907
48.002079,1501,15438.983835
59.206361,1501,15478.962843
76.571582,1501,15518.689739
77.504501,1501,15558.387855
66.803649,1501,15597.609708
28.093761,1501,15636.364044
80.284111,1501,15675.887119
77.424659,1501,15715.500408
61.317772,1501,15755.485566
82.800962,1501,15795.17338
73.541471,1501,15833.884825
63.280415,1501,15873.534051
70.238724,1501,15913.567345
77.365874,1501,15953.559878
64.78523,1501,15999.962366
75.132732,1501,16057.94991
61.925625,1501,16097.608992
57.302749,1501,16137.286577
49.669739,1501,16176.623798
52.270497,1501,16215.716105
51.075927,1501,16255.463188
36.708933,1501,16295.257235
70.025736,1501,16335.299418
68.595967,1501,16374.965547
74.112359,1501,16414.483766
0.082513,200,16421.142105
40.173295,1501,16461.28775
36.791843,1501,16501.692048
42.713033,1501,16541.758827
70.464034,1501,16582.784973
77.292565,1501,16623.298333
60.980692,1501,16664.01633
50.472233,1501,16705.152106
0.0,240,16711.425134
57.465788,1501,16752.335268
70.12345,1501,16793.314425
64.105505,1501,16834.09714
54.029936,1501,16874.729783
23.660972,1501,16914.542568
67.233615,1501,16954.931062
41.125282,1501,16995.771005
75.078686,1501,17036.319024
59.69309,1501,17076.450349
74.995115,1501,17116.562137
76.246086,1501,17156.228314
71.344725,1501,17195.82531
59.431845,1501,17235.851938
69.922241,1501,17275.93198
66.753914,1501,17316.50978
70.662879,1501,17355.803452
76.243607,1501,17394.244819
63.622156,1501,17434.095269
76.032527,1501,17473.725562
76.506412,1501,17513.24743
3.228841,424,17524.291798
68.068051,1501,17563.008682
55.389135,1501,17602.819283
69.526809,1501,17642.469492
0.036442,169,17646.974404
62.668831,1501,17686.742726
75.030587,1501,17726.278585
74.207049,1501,17765.955651
71.873477,1501,17804.066308
71.852622,1501,17843.839207
84.312197,1501,17883.706906
54.31479,1501,17923.778979
32.156401,1501,17963.774341
22.259278,1501,18002.631458
67.03547,1501,18041.944904
80.229693,1501,18081.436811
9.201362,518,18095.681623
56.722749,1501,18135.247699
50.626024,1501,18174.795945
64.591527,1501,18213.255018
89.282778,1501,18253.403348
63.216309,1501,18293.064829
55.746005,1501,18332.668463
45.851682,1501,18371.944815
73.249242,1501,18410.179893
55.523944,1501,18449.85129
