#{"t_start": 1735641528.0849004, "env_id": "None"}
r,l,t
5.841963,205,1846.313009
4.480239,188,1852.304408
4.453579,186,1857.021365
4.365688,284,1865.228129
5.378574,250,1871.376152
5.501224,231,1878.388208
3.607522,174,1882.833839
0.732238,467,1895.221821
3.678432,283,1902.157465
1.340572,359,1912.169891
3.605364,198,1917.121738
0.750659,425,1928.614746
3.779008,281,1936.744045
0.690316,231,1942.447802
4.271472,374,1952.763907
12.659575,587,1968.013385
5.103547,291,1975.663026
4.982546,210,1981.835017
12.504106,749,2001.004597
11.582709,610,2016.756425
5.936777,259,2024.407302
4.037949,200,2029.378145
5.085779,203,2035.80354
5.073142,278,2042.686496
5.325583,237,2049.757918
4.773469,236,2055.66869
14.814503,545,2069.893615
5.213601,196,2075.50983
7.629543,438,2086.572142
6.378007,392,2097.49858
6.768053,359,2107.621919
4.866329,214,2113.138496
16.38022,581,2129.584316
15.411549,503,2144.011246
16.916934,692,2162.688428
5.219854,403,2172.677239
11.570575,576,2187.633389
13.121155,574,2202.798091
14.730674,539,2216.844673
13.669057,564,2231.689952
14.12482,568,2246.715484
13.748198,618,2263.276899
4.475604,533,2277.426672
8.17015,523,2290.84104
12.584921,561,2305.616728
13.755869,639,2321.968469
10.009035,532,2335.888379
1.71061,453,2347.958073
3.938043,362,2356.59023
11.257565,545,2370.862291
9.38739,557,2385.3583
9.068945,581,2400.466609
2.728681,185,2406.535216
9.144269,495,2419.722872
1.652951,378,2428.752315
10.470887,724,2448.401764
3.235705,266,2454.95342
10.168262,685,2472.463558
11.775465,577,2487.729138
2.12105,312,2496.040714
5.896842,201,2501.566307
6.166879,403,2512.048295
3.875712,207,2518.621149
3.947312,283,2525.454087
13.266465,620,2541.2534
13.611641,501,2554.334344
14.077983,555,2568.887836
5.464527,355,2578.949021
6.51555,419,2590.265779
4.478614,305,2597.638864
14.835527,566,2612.326429
11.203634,535,2626.298724
5.414905,368,2636.584054
8.351465,383,2647.003749
5.663304,557,2661.655486
6.102274,280,2668.441325
14.214413,656,2685.597872
10.568628,704,2704.612862
5.870366,358,2713.571719
4.157569,252,2720.982073
4.876769,214,2726.454079
8.702266,383,2737.02767
5.796968,349,2746.942556
14.353273,540,2761.090523
10.561312,629,2777.078704
15.05055,673,2794.201685
14.529154,524,2807.9228
16.801528,525,2821.726152
12.479642,637,2837.903223
2.919801,344,2847.563936
11.709003,661,2864.44838
6.23814,256,2871.551635
4.934093,320,2879.851382
8.524988,745,2899.326499
14.630608,680,2917.470079
4.586924,325,2925.363544
14.128153,576,2940.335495
4.1572,237,2947.504135
5.294346,275,2954.13733
12.932015,558,2968.777483
0.337259,163,2974.162247
