#{"t_start": 1736094437.7450995, "env_id": "None"}
r,l,t
0.006219,232,6.619805
0.0,52,7.664341
0.0,66,9.185135
0.004681,157,12.28824
0.0,65,13.488781
0.0,112,15.357046
0.0,49,16.628166
0.004964,61,17.757878
0.0,62,18.980343
0.000688,64,20.175476
0.022217,221,24.192687
0.0,65,25.687379
0.048693,333,31.576065
0.000633,76,33.222893
0.044901,61,34.36624
0.003262,91,35.939806
0.020019,57,37.006542
0.003453,63,38.468631
0.030612,93,40.05593
0.025497,252,43.983739
0.034663,46,44.925753
0.071118,126,47.323326
0.077282,109,49.150626
0.0,35,49.946758
0.012089,133,52.736403
0.0,66,54.261104
0.211634,422,61.759203
0.002001,54,62.800164
0.004897,74,64.134696
0.0,47,65.084797
0.0,138,67.922855
0.17586,119,69.922017
0.0,106,71.72841
0.0,126,74.098869
0.0,246,78.730836
0.006696,34,79.503
0.003064,51,80.783068
0.0,790,93.559597
0.0,45,94.502737
13.088844,391,107.429683
0.71899,167,112.945726
16.166019,470,128.726518
0.032663,75,131.585028
0.06976,82,134.274418
0.025662,60,136.611017
0.193013,72,139.634336
0.92966,89,142.941818
0.055045,107,146.172545
3.46955,229,153.308292
0.370614,58,156.045307
3.325576,161,163.375968
0.977312,132,169.252489
0.083329,110,174.021261
4.568801,278,185.544578
0.0094,76,188.778432
0.0,60,191.863438
3.967791,248,203.158911
8.624838,240,213.445822
0.036607,53,216.242928
0.0,48,218.417521
0.524197,124,223.686973
0.078614,71,227.378367
1.726252,150,234.026093
0.02205,67,237.205398
3.44753,280,248.598338
0.12566,49,251.131782
0.045051,147,257.981735
0.01921,84,261.927135
16.262816,463,280.1751
0.091088,83,284.161537
0.022267,80,287.621175
1.01994,95,291.502146
0.213399,92,295.334936
1.798389,156,301.997133
0.147606,77,305.790432
0.044885,47,308.051246
0.026065,52,310.766516
0.030531,77,314.135048
0.022845,136,319.702443
0.041532,60,322.231652
0.050661,82,325.838889
0.076194,67,328.869949
0.051734,36,331.193916
0.015141,44,333.48243
0.785011,171,341.176869
0.030027,64,344.795313
0.030244,94,348.629664
0.640094,171,355.512225
0.013553,312,368.176185
0.005418,48,370.444804
0.432376,104,374.625691
0.020932,148,380.793927
17.264333,795,412.45723
0.039564,55,415.199275
0.025111,64,418.28616
0.049365,128,424.299396
0.032522,62,427.022458
0.050738,92,431.655816
0.054436,89,435.445928
0.041925,73,438.60856
0.010017,52,441.271511
0.033921,56,443.71369
0.027002,202,452.578229
0.006146,74,455.621636
0.095974,79,458.97754
0.025056,178,466.299707
0.046067,101,470.903337
2.45173,411,487.378622
0.519481,64,490.45861
0.046863,63,493.237307
2.597166,116,498.008356
8.440529,406,514.768279
0.241036,116,519.269871
0.804127,150,525.486698
0.06803,80,528.820969
1.048361,120,533.65817
0.017477,69,536.788243
0.816336,106,541.330444
0.18586,169,548.581642
0.104238,80,552.013586
0.007351,70,555.165831
4.563189,221,564.417383
26.868635,862,597.419828
0.038312,111,601.885694
15.029995,416,618.652328
0.120326,85,622.25746
0.001161,83,625.874762
23.041523,719,654.577635
2.311348,133,660.076732
7.962305,388,676.435933
0.0,75,680.059548
1.27901,243,689.846191
2.913792,502,709.735903
0.067979,334,723.181772
0.061595,108,727.75571
46.210532,1309,778.081804
0.01139,70,781.142579
0.889134,213,789.818398
0.036706,127,795.568351
8.55228,376,810.113714
19.822647,525,830.695283
2.072589,173,838.266369
1.538055,73,841.549758
9e-06,87,845.232454
0.302053,126,850.183989
0.842434,95,854.134287
0.752434,80,857.950006
0.090101,131,862.933745
0.014631,91,866.615019
0.063919,147,872.674874
0.85023,157,879.228581
0.857538,106,883.848673
1.142908,144,890.142279
10.963374,419,906.474441
2.667154,110,911.495104
0.022392,212,919.803323
0.074705,69,922.772702
24.300569,629,948.7783
0.030081,48,951.418284
5.28222,297,963.440379
81.449766,1977,1043.910443
4.981042,191,1052.102777
0.026386,82,1055.608655
4.341731,254,1066.265041
12.503686,284,1077.63057
18.685541,533,1099.145533
1.506428,103,1103.341828
7.005062,388,1119.031384
0.052289,120,1124.113739
0.010251,85,1128.115602
27.757681,704,1155.924303
145.132461,3001,1271.849562
1.225282,140,1278.04985
1.445228,264,1288.13957
0.013929,285,1298.9541
8.916702,393,1314.465487
114.48896,3001,1429.61869
24.171378,690,1456.800073
64.659867,1903,1512.554574
71.954836,1847,1566.253374
56.937163,1301,1606.546967
108.121254,2929,1719.428774
100.246191,2283,1807.646068
112.201584,3001,1922.616958
65.501949,1389,1976.483463
0.043777,76,1979.809979
2.718253,190,1987.283822
1.826532,244,1996.536331
31.624822,727,2025.069607
1.567259,95,2029.042363
33.008284,1060,2068.284663
25.438652,632,2091.825773
11.931983,356,2105.261956
28.329329,885,2139.733315
122.016336,3001,2252.179592
3.557718,159,2258.302243
5.990326,141,2263.847727
41.166995,967,2299.599458
38.157373,891,2333.149931
26.800265,638,2360.423603
0.066416,59,2363.477775
113.151131,3001,2480.516383
45.518535,1594,2539.575102
36.573667,991,2577.282429
120.692068,3001,2693.234922
42.698193,872,2728.073405
73.027582,1646,2793.279177
6.449535,157,2799.872494
124.976399,3001,2888.298073
23.771597,642,2906.699015
124.623088,3001,2991.884553
115.856991,3001,3080.869116
138.564984,3001,3169.391953
138.294031,3001,3256.661682
144.358484,3001,3345.186093
142.751217,3001,3433.645982
67.789576,1569,3480.165655
122.250241,3001,3567.433361
84.412792,2105,3628.632993
121.29496,3001,3716.644907
56.03673,1179,3751.39845
133.619993,3001,3837.607652
136.138901,3001,3922.083664
1.923743,116,3925.306687
3.206196,258,3933.186751
124.018444,3001,4018.490342
141.791321,3001,4104.606879
85.420987,1839,4157.93791
4.641458,150,4162.498778
133.044754,3001,4249.12965
136.714137,3001,4335.70016
136.710264,3001,4422.336487
1.568386,137,4426.58991
106.447342,2748,4507.153787
140.612048,3001,4595.659937
144.272314,3001,4684.146635
135.371373,3001,4772.625351
103.525589,3001,4861.828193
140.736197,3001,4949.94633
151.601897,3001,5038.275893
2.611873,164,5043.349689
26.684723,681,5063.567915
146.73229,3001,5151.346516
141.371817,3001,5237.158694
21.169867,671,5256.862603
135.664783,3001,5360.832021
143.175548,3001,5477.19565
143.16366,3001,5597.459952
56.316731,1351,5652.013496
6.613221,318,5664.718522
129.21849,3001,5784.663354
135.727945,3001,5903.60723
1.61541,99,5907.830107
130.832532,3001,6025.40077
136.128028,3001,6144.626796
142.258156,3001,6257.292723
144.727344,3001,6368.178746
148.843537,3001,6479.43105
144.892134,3001,6591.007694
131.976829,3001,6707.794189
161.339712,3001,6825.3105
90.506778,1732,6880.872866
0.488178,84,6883.617433
135.506524,3001,6970.091895
22.020192,646,6989.169151
0.93401,74,6991.550951
140.536551,3001,7079.78784
39.357732,1412,7121.041448
3.213538,142,7125.486722
165.553134,3001,7221.032431
154.753822,3001,7330.927239
131.916714,3001,7438.178951
159.741233,3001,7525.007399
1.849347,119,7528.683736
153.207931,3001,7616.781042
0.635762,197,7622.852945
151.891233,3001,7711.118411
168.395269,3001,7797.118938
144.009003,3001,7884.533589
167.714266,3001,7972.668103
149.736307,3001,8058.853247
1.562752,114,8062.185701
145.503218,3001,8148.932934
0.045528,98,8152.095138
25.017711,523,8167.576391
145.887489,3001,8255.286523
150.477089,3001,8341.539764
2.150046,112,8345.13877
60.303154,1465,8387.893003
154.33111,3001,8476.836332
151.801171,3001,8565.028504
65.354192,1460,8607.591835
0.004582,85,8610.333359
166.286314,3001,8698.924813
165.861417,3001,8802.647878
157.354061,3001,8914.258806
127.725897,3001,9026.452066
161.817657,3001,9137.596714
175.822689,3001,9247.893605
55.203006,1090,9288.227205
1.894364,172,9294.925059
172.864254,3001,9407.539725
173.829732,3001,9519.071571
153.882999,3001,9629.088384
140.201156,2839,9740.495325
143.961113,3001,9845.121319
45.620865,903,9871.548823
176.564981,3001,9958.05611
91.69579,1853,10011.378218
2.418695,117,10015.024109
140.743022,2549,10089.193284
2.240959,188,10094.719532
122.617005,2665,10169.968715
7.314101,247,10177.542359
0.38739,128,10181.650705
113.749255,3001,10268.218141
158.754109,3001,10353.248338
0.108165,73,10355.55579
157.979625,3001,10439.8076
175.351173,3001,10524.692529
150.901808,3001,10609.453566
176.655349,3001,10694.538146
168.685759,3001,10779.868566
155.53116,3001,10864.934169
193.616439,3001,10949.756064
175.188288,3001,11034.685641
185.087688,3001,11119.742946
171.876448,2914,11202.530632
5.235168,194,11208.289669
173.232363,3001,11293.785732
4.120863,157,11298.453963
0.056564,93,11301.322278
0.07496,148,11305.737899
17.571759,579,11322.450931
48.691921,1285,11358.85883
5.374149,163,11363.746647
