#{"t_start": 1736094437.4350529, "env_id": "None"}
r,l,t
0.075939,137,7539.335642
150.515814,3001,7627.302149
154.239127,2759,7707.813592
53.717014,1172,7741.993528
135.242437,2651,7817.928407
25.029644,548,7833.732297
181.523039,3001,7922.208821
159.484072,3001,8009.114889
0.402325,77,8011.672396
0.085288,204,8017.597928
146.167777,3001,8103.411993
172.906983,3001,8191.838885
157.018602,3001,8278.965865
150.806546,3001,8365.798565
125.720758,3001,8454.3556
149.634222,3001,8542.095996
11.457346,502,8557.131378
168.714218,3001,8645.533148
0.068048,149,8650.139681
153.283236,3001,8741.172181
145.045751,3001,8852.646886
0.693,100,8856.656775
163.086733,3001,8967.909849
65.460454,1167,9010.991603
1.115659,145,9016.679688
163.64307,3001,9128.317444
136.277035,3001,9238.606723
170.994197,3001,9351.950294
74.548464,1589,9410.880469
9.861263,243,9420.169826
0.02813,133,9425.70318
135.384314,3001,9532.635596
142.330913,3001,9647.135945
139.977678,3001,9763.474085
162.086248,3001,9863.067879
151.498599,3001,9949.654969
53.338844,1219,9985.292634
171.771647,3001,10072.826741
106.049174,2149,10133.72696
150.613444,3001,10219.681887
2.741664,247,10227.043124
35.88901,821,10251.015115
6.993728,204,10257.017218
143.64875,3001,10341.943511
9.532686,381,10352.852711
171.643002,3001,10437.363788
14.001831,350,10447.638002
150.816504,3001,10532.571014
148.442564,3001,10617.468997
142.257394,3001,10702.430019
23.402957,463,10715.736517
175.998077,3001,10800.885061
131.803009,3001,10885.846586
170.608695,3001,10970.705613
142.086111,2474,11040.798917
163.4814,3001,11125.818364
176.409182,3001,11211.394265
36.388894,773,11233.400687
178.771616,3001,11319.30677
164.292216,3001,11404.87376
79.716128,1407,11444.569098
164.641006,2996,11529.926226
176.935869,3001,11614.930882
30.979864,618,11632.578128
5.684325,307,11641.4797
61.921111,1326,11678.960608
0.019653,53,11680.736286
0.157718,95,11683.707922
157.976771,3001,11768.799341
105.373,1903,11822.692491
39.364732,892,11848.152634
151.923418,3001,11932.814496
9.664313,225,11939.410204
125.840415,3001,12024.489229
116.614436,3001,12110.976777
31.76969,742,12132.102374
0.00312,138,12136.223302
97.803762,2805,12216.188123
128.50025,3001,12301.221561
128.938865,3001,12385.943179
175.617371,3001,12471.006517
94.154593,3001,12557.052511
125.244551,2465,12627.117117
132.482973,3001,12712.121233
0.336932,81,12714.666233
106.841092,2130,12774.860778
44.685345,1037,12804.148717
1.77743,107,12807.6718
161.460605,3001,12892.708028
53.401915,1127,12924.779879
81.784501,1546,12969.39669
115.063781,3001,13054.376958
179.025378,3001,13139.343745
165.84579,3001,13224.914025
166.545838,3001,13310.057977
49.179091,1042,13340.263194
58.144719,1255,13375.639012
141.922908,3001,13460.923518
163.991626,3001,13547.009465
52.822626,999,13575.439655
190.2185,3001,13660.489153
177.9224,3001,13745.973148
5.932348,399,13757.467419
118.457651,2548,13832.131068
15.265314,478,13846.695347
12.16011,294,13855.351316
83.842036,3001,13940.388642
1.373024,116,13943.877112
112.278713,2582,14016.636959
42.049532,966,14044.365911
133.554752,3001,14129.236116
0.443622,115,14132.712788
145.072132,3001,14217.546386
84.024503,2797,14298.149757
1.335128,129,14302.443877
28.331616,615,14324.541172
21.629879,438,14338.458696
170.168706,3001,14452.213408
47.493088,934,14487.000607
21.380501,478,14504.680092
16.069229,414,14520.722961
1.218252,95,14524.618974
27.124016,585,14546.892655
1.115937,92,14550.550296
8.03616,460,14567.854351
96.613081,1741,14632.389487
48.377957,1005,14669.898602
120.139976,2351,14758.815025
132.83891,2242,14841.905989
6.955756,177,14848.744479
150.506564,2855,14955.157236
1.883778,113,14959.77178
176.675548,3001,15070.699597
129.263889,2591,15165.818072
91.580525,2103,15243.284083
170.249224,3001,15360.177576
38.463154,893,15394.388611
