#{"t_start": 1731235527.5467494, "env_id": "None"}
r,l,t
0.0,56,1631.968246
0.0,196,1638.654271
0.0,70,1640.606604
0.032831,142,1644.016592
0.0,39,1645.606916
0.000514,596,1657.993147
0.016873,115,1660.674911
0.005363,632,1673.4034
0.019635,88,1675.608328
0.018486,86,1677.71871
0.002669,17,1678.528396
0.011242,136,1681.646125
0.009,89,1683.796303
0.0,59,1685.407548
0.001592,343,1692.448091
0.0,86,1694.728476
0.005529,123,1697.675809
0.004609,136,1700.807995
0.004248,60,1702.591194
0.0,68,1704.548362
0.0,72,1706.458149
0.003831,163,1710.188683
0.003842,926,1728.133999
0.005494,1001,1746.457101
0.021723,216,1750.634348
0.02222,53,1752.049524
0.017327,354,1758.608513
0.0,73,1760.340234
0.011296,238,1764.926168
0.002772,145,1767.852714
0.0,465,1776.313619
0.046201,192,1780.129494
0.0,144,1783.121615
0.012634,84,1785.07305
0.0,262,1790.070625
0.033302,426,1797.800138
0.035946,193,1801.566454
0.0,43,1802.759976
0.0,382,1809.872038
0.0,279,1815.241923
0.023083,132,1818.036189
0.001616,187,1821.765511
0.012925,75,1823.6744
0.021583,177,1827.194474
0.0,388,1835.17175
0.017103,99,1837.694906
0.020758,490,1847.688172
0.032445,485,1857.68093
0.0,70,1859.50342
0.00708,97,1861.774693
0.008374,1001,1882.312798
0.012814,291,1889.423218
0.0,303,1896.716864
0.011304,403,1905.776835
0.008259,143,1909.116124
0.121777,404,1917.180303
0.020133,162,1920.785175
0.0,231,1925.613321
0.001816,89,1927.754408
0.002672,223,1932.457929
0.0,112,1935.023327
0.014203,141,1938.2003
0.0,131,1941.109375
0.0,219,1945.836265
0.0,45,1947.232248
0.001466,163,1950.931308
0.01658,82,1953.009658
0.0,214,1957.48008
7e-05,185,1961.384515
0.006111,68,1963.187346
0.019182,58,1964.745162
0.010973,708,1978.390004
0.0,111,1980.922355
0.013825,185,1984.836844
0.007396,224,1989.496414
0.00025,530,1999.873404
0.005908,155,2003.311412
0.002564,50,2004.889133
0.0,56,2006.72243
0.005042,43,2008.038537
0.0,1001,2026.544019
0.005137,125,2029.23121
0.0,94,2031.425274
0.0,45,2032.69198
0.0,725,2046.059755
0.0,191,2049.857684
0.0,66,2051.505959
0.0,629,2063.032395
0.001692,52,2064.419264
0.008366,1001,2082.884306
0.007037,113,2085.354905
0.001834,64,2086.932547
0.001689,58,2088.447088
0.0,104,2090.798709
0.00629,462,2099.487243
0.004384,131,2102.26667
0.002607,142,2105.251391
0.001336,782,2119.606087
0.0,209,2123.748648
0.000888,172,2127.613096
0.004778,185,2131.60489
0.0,715,2146.045736
0.03542,241,2151.489994
0.00265,790,2167.27169
0.01365,519,2177.5919
0.054634,116,2180.30708
0.011345,527,2190.766816
0.007462,45,2192.151497
0.002739,51,2193.611119
0.116393,165,2197.193707
0.003327,37,2198.3967
0.007305,144,2201.672974
0.0,43,2203.009284
0.015268,367,2210.546856
0.003501,69,2212.36636
0.002311,319,2218.797423
0.031925,170,2222.551044
0.158469,101,2224.970104
0.042078,57,2226.59281
0.000852,275,2232.231304
0.017756,976,2251.151113
0.167302,168,2254.83469
0.0,207,2259.287105
0.007343,229,2264.110477
0.01893,85,2266.232882
0.028423,226,2270.915594
0.000587,225,2275.642233
0.063079,414,2283.892969
0.061603,484,2293.550391
0.055712,226,2298.352784
0.011792,119,2301.070785
0.01549,133,2304.135367
0.055764,374,2311.851284
0.011313,1001,2331.913122
0.010313,105,2334.405694
0.018531,1001,2353.93485
0.033398,269,2359.509389
0.017076,181,2363.517005
0.051782,1001,2383.079372
0.005861,102,2385.534744
0.075316,86,2387.747802
0.012044,187,2391.809767
0.024224,202,2396.151339
0.043313,139,2399.239405
0.004209,348,2406.364836
0.009017,50,2407.81099
0.012384,107,2410.333212
0.015831,171,2414.327403
0.017207,121,2417.110549
0.019169,272,2422.785734
0.071598,65,2424.482759
0.013311,245,2429.618824
0.005795,738,2444.254086
0.006468,189,2448.407731
0.01081,169,2452.103927
0.0,293,2458.259954
0.013598,257,2464.35632
0.035106,383,2473.491481
0.006226,245,2479.6025
0.004291,161,2483.413186
0.00492,209,2487.914767
0.009497,33,2489.02477
0.057057,122,2491.865442
0.063798,644,2504.595122
0.03831,570,2515.726824
0.083509,833,2531.797411
0.042995,868,2548.389704
0.018518,1001,2568.175257
0.028112,418,2577.199998
0.071264,463,2587.109313
0.065051,355,2594.30034
0.010114,1001,2613.972929
0.032852,121,2617.014639
0.04508,106,2619.479138
0.045035,1001,2638.928254
0.034377,156,2642.324297
0.005331,479,2651.858057
0.022853,201,2656.288718
0.014354,189,2660.299757
0.012715,1001,2679.273279
0.021109,1001,2698.207419
0.047768,1001,2717.311821
0.023666,161,2720.683065
0.027605,350,2727.673169
0.016806,1001,2746.758462
0.057303,1001,2767.677186
0.026801,198,2772.091141
0.01294,605,2783.529784
0.0,1001,2802.175497
0.006821,97,2804.452508
0.0,1001,2823.881439
0.006153,1001,2843.187499
0.014474,1001,2862.469511
0.003538,850,2878.795866
0.010723,256,2883.985481
0.012756,43,2885.282483
0.076124,174,2888.937037
0.014433,391,2896.721022
0.008505,34,2897.815571
0.020557,1001,2917.014517
0.020677,69,2918.770702
0.017103,912,2936.206638
0.017726,36,2937.3659
0.0,68,2939.10548
0.001775,33,2940.185585
0.123113,226,2944.787718
0.031786,28,2945.766788
0.013917,39,2946.945591
0.003253,76,2948.820516
0.018958,28,2949.839358
0.013115,233,2954.601594
0.036194,51,2956.040594
0.042464,172,2959.717791
0.019716,76,2961.6309
0.025132,219,2966.070221
0.050485,45,2967.46425
0.015342,35,2968.622263
0.010606,106,2971.064182
0.039794,434,2979.6364
0.050774,350,2986.536098
0.047181,207,2990.849179
0.037612,44,2992.170197
0.013235,30,2993.199196
0.038879,502,3002.802537
0.0,70,3004.586969
0.025458,63,3006.259446
0.0,1001,3025.342175
0.021583,29,3026.371371
0.020069,626,3038.317963
0.040318,282,3044.069506
0.028017,46,3045.42257
0.030962,164,3048.914684
0.030588,282,3054.606341
0.002328,60,3056.192559
0.020844,364,3063.390426
0.00319,154,3066.675273
0.012248,71,3068.478107
