#{"t_start": 1735491270.021577, "env_id": "None"}
r,l,t
90.729788,2001,5045.318162
91.92681,2001,5095.631695
93.053755,2001,5146.256225
91.856483,2001,5196.620343
94.136598,2001,5246.817077
95.246805,2001,5296.957198
96.271096,2001,5347.302113
91.930541,2001,5397.305346
94.961714,2001,5447.363392
96.38735,2001,5497.391275
95.953896,2001,5547.54374
97.692335,2001,5597.883223
96.690795,2001,5647.991705
96.057739,2001,5698.227747
100.010435,2001,5748.274168
98.502157,2001,5798.096778
100.953956,2001,5847.936603
102.484291,2001,5897.783674
101.383432,2001,5947.455698
100.181811,2001,5997.353708
102.42237,2001,6047.095453
100.852428,2001,6096.939427
102.434226,2001,6146.960174
102.920708,2001,6196.842899
101.007438,2001,6246.612254
102.767334,2001,6296.936627
100.499794,2001,6346.97732
102.705704,2001,6396.882562
101.202308,2001,6446.678101
100.878344,2001,6496.606616
102.433325,2001,6546.495521
105.237434,2001,6596.672492
103.774625,2001,6646.792095
100.160711,2001,6696.808496
102.533482,2001,6746.687523
104.200121,2001,6796.81834
104.424592,2001,6846.809428
102.48312,2001,6896.969317
98.651706,2001,6947.113397
106.251551,2001,6996.957123
107.68188,2001,7046.845952
101.584977,2001,7096.775823
103.718281,2001,7146.705905
109.273028,2001,7196.816714
104.571954,2001,7246.682918
102.7717,2001,7296.433606
109.065523,2001,7346.274371
107.483328,2001,7395.909711
107.199513,2001,7445.845344
103.784126,2001,7496.200183
107.081445,2001,7546.277659
104.02443,2001,7596.241594
102.876708,2001,7646.48444
101.724536,2001,7696.615559
104.301544,2001,7746.770112
104.650077,2001,7796.913607
107.227573,2001,7847.245228
107.503436,2001,7897.591684
105.6837,2001,7947.67457
106.535002,2001,7997.74877
106.712045,2001,8047.799073
110.271498,2001,8097.936802
107.562182,2001,8148.111039
107.501686,2001,8198.013684
107.26591,2001,8247.774329
109.962927,2001,8297.466447
109.285057,2001,8347.186838
112.613462,2001,8396.655755
109.892079,2001,8446.388375
106.944226,2001,8496.426932
105.736673,2001,8546.258216
101.17379,2001,8596.057635
107.113748,2001,8646.503259
107.681181,2001,8696.877685
114.030007,2001,8747.262784
114.380044,2001,8797.222726
114.178537,2001,8847.331899
110.537371,2001,8897.492622
108.099018,2001,8947.603441
109.259318,2001,8998.03041
111.404757,2001,9048.263563
111.282173,2001,9098.387197
113.112641,2001,9148.720469
114.108836,2001,9198.773475
112.135986,2001,9248.663929
112.606079,2001,9298.746739
112.978469,2001,9348.50519
107.182837,2001,9398.558677
112.642532,2001,9448.543137
108.567139,2001,9498.691236
114.275232,2001,9548.708366
115.3129,2001,9598.608699
116.93213,2001,9649.823616
117.588373,2001,9701.249819
118.513806,2001,9751.377666
112.40768,2001,9801.978117
116.636249,2001,9852.614173
116.102468,2001,9902.799214
120.248825,2001,9953.367674
119.358891,2001,10003.334228
120.132268,2001,10053.195539
121.029055,2001,10103.31567
119.865775,2001,10153.584123
121.73638,2001,10204.101564
117.877151,2001,10254.289397
119.882645,2001,10304.361805
118.188708,2001,10354.887935
121.263825,2001,10405.059666
121.333619,2001,10455.497872
120.670953,2001,10505.334205
123.725478,2001,10555.101651
120.510658,2001,10605.033849
121.02009,2001,10654.983686
119.887959,2001,10704.820775
124.681186,2001,10754.546066
117.962366,2001,10804.39813
119.179382,2001,10854.401953
0.966729,201,10859.830862
121.684411,2001,10909.502142
120.921008,2001,10959.569898
125.462036,2001,11010.024679
122.746941,2001,11059.926549
125.285003,2001,11109.89267
123.688495,2001,11160.222255
121.690587,2001,11210.550253
117.994039,2001,11260.420029
122.298385,2001,11310.347681
119.278997,2001,11360.482967
0.21483,277,11367.819469
0.092279,180,11372.712771
119.139915,2001,11422.819984
118.141405,2001,11472.903794
118.842586,2001,11523.041722
120.42952,2001,11573.400739
118.332678,2001,11623.557971
121.914583,2001,11673.477187
117.762946,2001,11723.211195
121.069732,2001,11772.947286
116.285384,2001,11822.721654
119.557441,2001,11872.623999
122.637183,2001,11922.533881
119.981909,2001,11972.458378
114.08193,2001,12022.238445
0.010012,102,12025.20242
120.644233,2001,12075.038427
123.422878,2001,12124.841855
123.459466,2001,12175.444398
117.331704,2001,12225.506955
120.491914,2001,12276.007796
125.294826,2001,12326.318932
124.179709,2001,12376.448433
114.831962,2001,12426.158786
118.798449,2001,12476.373147
117.18635,2001,12526.538482
117.061544,2001,12576.504548
110.151308,2001,12626.61234
0.10681,133,12630.37412
126.561802,2001,12680.311425
124.678741,2001,12730.492182
0.570352,114,12733.807673
0.040533,139,12737.650397
122.623834,2001,12787.442393
0.560842,177,12792.251427
0.380181,256,12799.108553
120.207608,2001,12849.065437
0.007806,218,12854.875867
123.726466,2001,12904.557037
121.308871,2001,12954.268178
121.108858,2001,13003.801451
116.533414,2001,13053.195828
118.787607,2001,13102.83779
119.105616,2001,13152.374244
122.794504,2001,13202.232273
121.98461,2001,13252.188728
0.180354,286,13259.770637
0.465518,259,13266.631286
0.055129,123,13270.145163
120.500992,2001,13320.267144
120.700258,2001,13370.365285
121.125312,2001,13420.409359
119.285178,2001,13470.517821
116.306227,2001,13520.303423
120.458557,2001,13570.411005
119.155523,2001,13620.414959
124.01307,2001,13670.104605
124.431446,2001,13719.855254
123.927979,2001,13769.835305
124.999387,2001,13819.793337
122.178313,2001,13869.764255
125.869864,2001,13919.672247
125.038321,2001,13969.557731
123.968364,2001,14019.152438
120.341521,2001,14069.163224
124.903646,2001,14118.934118
126.241687,2001,14168.762922
111.460774,2001,14218.606712
0.190252,425,14229.473426
125.226453,2001,14278.913304
126.242145,2001,14328.480129
128.331013,2001,14378.291079
126.146642,2001,14427.798273
0.037445,122,14431.273158
125.604869,2001,14480.886861
125.549897,2001,14531.115833
121.880574,2001,14581.122169
123.979479,2001,14631.19731
121.743011,2001,14681.192192
128.460653,2001,14731.142675
124.664682,2001,14781.190763
120.086503,2001,14831.110769
